ID;site;region;origin;frequency_A;total_A;percentage_site_A;sites_A;percentage_in_all_A;frequency_B;total_B;percentage_site_B;sites_B;percentage_in_all_B;frequency_C;total_C;percentage_site_C;sites_C;percentage_in_all_C;frequency_D;total_D;percentage_site_D;sites_D;percentage_in_all_D
440;Baetulo;Tarraconensis;Gallia;2;50;4;26;0.153846154;2;50;4;29;0.137931034;2;50;4;29;0.137931034;0;0;0;22;0
441;Baetulo;Tarraconensis;Adria;0;50;0;26;0;0;50;0;29;0;0;50;0;29;0;0;0;0;22;0
442;Tarraco;Tarraconensis;Italy;0;0;0;26;0;1.14;28.5;4;29;0.137931034;1.14;28.5;4;29;0.137931034;0;26;0;22;0
443;Tarraco;Tarraconensis;Baetica;0;0;0;26;0;9.69;28.5;34;29;1.172413793;9.69;28.5;34;29;1.172413793;6.76;26;26;22;1.181818182
444;Tarraco;Tarraconensis;Tarraconensis;0;0;0;26;0;8.835;28.5;31;29;1.068965517;8.835;28.5;31;29;1.068965517;0;26;0;22;0
445;Tarraco;Tarraconensis;North Africa;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;2.86;26;11;22;0.5
446;Tarraco;Tarraconensis;Iberian Peninsula;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;0;26;0;22;0
447;Tarraco;Tarraconensis;Aegean;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;0;26;0;22;0
448;Tarraco;Tarraconensis;Western Mediterranean;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;11.44;26;44;22;2
449;Tarraco;Tarraconensis;Eastern Mediterranean;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;4.94;26;19;22;0.863636364
450;Tarraco;Tarraconensis;unknown;0;0;0;26;0;8.835;28.5;31;29;1.068965517;8.835;28.5;31;29;1.068965517;0;26;0;22;0
451;Tarraco;Tarraconensis;Pontic Sea;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;0;26;0;22;0
452;Tarraco;Tarraconensis;Egypt;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;0;26;0;22;0
453;Tarraco;Tarraconensis;Gallia;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;0;26;0;22;0
454;Tarraco;Tarraconensis;Adria;0;0;0;26;0;0;28.5;0;29;0;0;28.5;0;29;0;0;26;0;22;0
